NAICS6,SIC6
211111,131100
211112,132100
212111,122100
212112,122200
212113,123100
212210,101100
212221,104100
212222,104400
212231,103100
212234,102100
212234,109910
212291,109400
212299,109920
212311,141100
212312,142200
212313,142300
212319,142900
212319,149910
212321,144200
212322,144600
212324,145500
212325,145900
212391,147400
212392,147500
212393,147900
212399,149920
213111,138100
213112,138210
213112,138900
213113,124100
213114,108110
213115,148110
221111,491101
221111,493101
221111,493901
221112,491102
221112,493102
221112,493902
221113,491103
221113,493103
221119,491104
221119,493104
221119,493904
221121,491105
221121,493105
221121,493905
221122,491106
221122,493106
221122,493906
221210,492302
221210,492400
221210,492500
221210,493107
221210,493200
221210,493907
221310,494100
221310,497100
221320,495200
221330,496100
233110,655200
233210,152100
233210,153110
233210,874121
233220,152220
233220,153120
233220,874122
233310,153130
233310,154120
233310,874123
233320,152210
233320,153140
233320,154110
233320,154200
233320,874124
234110,161100
234110,874131
234120,162200
234120,874132
234910,162310
234910,874133
234920,162320
234920,874134
234930,162910
234930,874135
234990,162920
234990,735320
234990,874136
235110,171100
235210,172100
235210,179910
235310,173100
235410,174100
235420,174200
235420,174310
235420,177110
235430,174320
235510,175100
235520,175200
235610,176100
235710,177120
235810,178100
235910,179100
235920,179300
235920,179920
235930,179400
235940,179500
235950,179600
235990,179940
311111,204700
311119,204810
311211,203410
311211,204100
311212,204400
311213,208300
311221,204600
311222,207510
311223,207410
311223,207610
311225,207420
311225,207520
311225,207620
311225,207710
311225,207900
311230,204310
311311,206100
311312,206200
311313,206300
311320,206600
311330,206410
311330,544110
311340,206420
311340,209910
311340,544120
311411,203700
311412,203800
311421,203300
311421,203510
311422,203210
311423,203420
311423,209920
311511,202600
311512,202100
311513,202200
311514,202300
311520,202400
311611,201100
311611,204820
311612,201300
311612,514706
311613,207720
311615,201510
311711,207730
311711,209100
311712,207740
311712,209200
311811,546111
311812,205100
311812,205210
311813,205300
311821,205220
311822,204500
311823,209800
311830,209930
311911,206800
311911,209940
311919,205230
311919,209600
311920,204320
311920,209510
311920,209950
311930,208710
311941,203520
311941,209960
311942,208720
311942,209520
311942,209970
311942,289910
311991,209980
311999,201520
311999,203220
311999,208730
311999,209990
312111,208610
312112,208620
312113,209700
312120,208200
312130,208400
312140,208500
312210,214110
312221,211100
312229,212100
312229,213100
312229,214120
313111,228100
313111,229910
313112,228210
313113,228410
313113,229920
313210,221100
313210,222100
313210,223110
313210,229930
313221,224100
313221,229940
313222,239700
313230,229700
313230,229950
313241,225710
313249,225810
313249,225910
313311,223120
313311,226100
313311,226200
313311,513105
313312,223130
313312,225720
313312,225820
313312,226900
313312,228220
313312,228420
313312,229960
313312,513110
313320,229500
313320,306910
314110,227300
314121,239100
314121,571401
314129,239210
314911,239220
314911,239300
314912,239400
314991,229800
314992,229600
314999,229970
314999,239510
314999,239610
314999,239910
314999,399905
315111,225100
315111,225210
315119,225220
315191,225300
315191,225920
315192,225400
315192,225930
315211,231110
315211,232110
315211,232210
315211,232510
315211,232610
315211,232910
315211,234110
315211,238410
315211,238510
315211,239520
315212,233110
315212,233510
315212,233710
315212,233910
315212,234120
315212,234210
315212,236110
315212,236910
315212,238420
315212,238520
315212,238910
315212,239530
315221,232220
315221,234130
315221,236920
315221,238430
315222,231120
315222,236930
315222,238530
315223,232120
315223,236120
315224,232520
315224,236940
315225,232620
315228,232920
315228,236950
315228,238540
315231,234140
315231,234210
315231,234220
315231,236960
315231,238440
315231,238920
315232,233120
315232,236130
315233,233520
315233,236140
315234,233720
315234,236970
315234,238550
315239,233920
315239,236980
315239,238560
315291,234150
315291,236150
315291,236990
315291,238570
315292,237100
