"SIC4","NAICS6","SIC_Description","NAICS_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"0111","111140","Wheat","Wheat Farming",1805,3921,66214685,1,1,1
"0112","111160","Rice","Rice Farming",937,3073,56298059,1,1,1
"0115","111150","Corn","Corn Farming",1194,10973,234139377,1,1,1
"0116","111110","Soybeans","Soybean Farming",377,2567,53196828,1,1,1
"0119","111120","Cash Grains, Not Elsewhere Classified","Oilseed (except Soybean) Farming",40,179,3829013,0.01,0.01,0.01
"0119","111130","Cash Grains, Not Elsewhere Classified","Dry Pea and Bean Farming",99,335,5998540,0.03,0.02,0.02
"0119","111150","Cash Grains, Not Elsewhere Classified","Corn Farming",1194,10973,234139377,0.41,0.6,0.63
"0119","111191","Cash Grains, Not Elsewhere Classified","Oilseed and Grain Combination Farming",940,4207,80135696,0.33,0.23,0.22
"0119","111199","Cash Grains, Not Elsewhere Classified","All Other Grain Farming",611,2518,48454400,0.21,0.14,0.13
"0131","111920","Cotton","Cotton Farming",3738,23642,363528758,1,1,1
"0132","111910","Tobacco","Tobacco Farming",510,5649,76307346,1,1,1
"0133","111930","Sugarcane and Sugar Beets","Sugarcane Farming",328,6904,176628485,0.57,0.82,0.86
"0133","111991","Sugarcane and Sugar Beets","Sugar Beet Farming",248,1559,28375817,0.43,0.18,0.14
"0134","111211","Irish Potatoes","Potato Farming",1013,12622,219985124,1,1,1
"0139","111199","Field Crops, Except Cash Grain","All Other Grain Farming",611,2518,48454400,0.04,0.01,0.02
"0139","111211","Field Crops, Except Cash Grain","Potato Farming",1013,12622,219985124,0.07,0.07,0.08
"0139","111219","Field Crops, Except Cash Grain","Other Vegetable (except Potato) and Melon Farming",3987,83446,1302625398,0.28,0.48,0.47
"0139","111940","Field Crops, Except Cash Grain","Hay Farming",1133,5872,107886417,0.08,0.03,0.04
"0139","111992","Field Crops, Except Cash Grain","Peanut Farming",154,1017,15118495,0.01,0.01,0.01
"0139","111998","Field Crops, Except Cash Grain","All Other Miscellaneous Crop Farming",7444,67384,1086382368,0.52,0.39,0.39
"0139","112519","Field Crops, Except Cash Grain","Other Animal Aquaculture",86,396,6598229,0.01,0,0
"0161","111211","Vegetables and Melons","Potato Farming",1013,12622,219985124,0.2,0.13,0.14
"0161","111219","Vegetables and Melons","Other Vegetable (except Potato) and Melon Farming",3987,83446,1302625398,0.8,0.87,0.86
"0171","111333","Berry Crops","Strawberry Farming",584,18884,243311629,0.41,0.65,0.6
"0171","111334","Berry Crops","Berry (except Strawberry) Farming",849,10173,162770561,0.59,0.35,0.4
"0172","111332","Grapes","Grape Vineyards",3922,42191,630920429,1,1,1
"0173","111335","Tree Nuts","Tree Nut Farming",2021,12621,198605491,1,1,1
"0174","111310","Citrus Fruits","Orange Groves",831,8435,166684879,0.67,0.64,0.66
"0174","111320","Citrus Fruits","Citrus (except Orange) Groves",407,4783,86151493,0.33,0.36,0.34
"0175","111331","Deciduous Tree Fruits","Apple Orchards",3166,38158,454671259,0.49,0.53,0.5
